epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6727.47,0.81264,0.51468,1.02116,0.91282,0.89491,0.93664,0.72891,0.9068,0.51198,1.11137,0.001684,0.001684,0.001684
86,6924.7,0.81365,0.51141,1.02058,0.9114,0.89667,0.93675,0.72965,0.90639,0.51133,1.1113,0.001585,0.001585,0.001585
87,7120.68,0.81131,0.50773,1.02307,0.91216,0.89595,0.93707,0.72948,0.90652,0.51087,1.11133,0.001486,0.001486,0.001486
88,7315.82,0.7953,0.49723,1.01382,0.91253,0.89374,0.93696,0.72989,0.90666,0.51039,1.1116,0.001387,0.001387,0.001387
89,7513.31,0.79468,0.49403,1.01534,0.91398,0.89264,0.93661,0.72897,0.90677,0.51075,1.11167,0.001288,0.001288,0.001288
90,7708.64,0.79765,0.49695,1.01535,0.91371,0.89088,0.93666,0.72921,0.90714,0.51037,1.11199,0.001189,0.001189,0.001189
91,7899.66,0.73935,0.39701,1.00651,0.91379,0.89097,0.93643,0.72884,0.90756,0.51013,1.11258,0.00109,0.00109,0.00109
92,8085.89,0.72581,0.38498,0.99587,0.91363,0.89197,0.93639,0.7284,0.90722,0.50929,1.11254,0.000991,0.000991,0.000991
93,8272.18,0.71489,0.37838,0.98927,0.91498,0.89042,0.93655,0.72888,0.90705,0.50956,1.11266,0.000892,0.000892,0.000892
94,8458.35,0.71043,0.37569,0.98614,0.91579,0.88954,0.93631,0.72862,0.90757,0.50964,1.1133,0.000793,0.000793,0.000793
95,8644.93,0.70024,0.36956,0.98088,0.9173,0.88944,0.93625,0.72821,0.90763,0.50928,1.11344,0.000694,0.000694,0.000694
96,8831.57,0.6952,0.36465,0.97954,0.91846,0.89006,0.93648,0.72809,0.90785,0.50879,1.11436,0.000595,0.000595,0.000595
97,9017.26,0.68928,0.36183,0.97785,0.91453,0.89229,0.93625,0.72851,0.90783,0.50859,1.11455,0.000496,0.000496,0.000496
98,9206.44,0.68612,0.3563,0.97184,0.91507,0.89312,0.93593,0.72835,0.90729,0.50822,1.11464,0.000397,0.000397,0.000397
99,9393.14,0.68067,0.35375,0.97198,0.91525,0.8907,0.93534,0.72834,0.90732,0.50837,1.11507,0.000298,0.000298,0.000298
100,9579.29,0.67399,0.35141,0.96823,0.91521,0.88985,0.93501,0.72859,0.90693,0.50848,1.11523,0.000199,0.000199,0.000199
